2020-09-23T11:03:42.552,26764,8605
2020-09-23T11:39:21.030,21608,7791
2020-09-23T15:07:07.713,25729,16992
2020-09-23T15:21:29.437,23718,18334
2020-09-23T15:41:17.989,26754,17270,19181,11675
2020-09-23T15:44:12.431,23866,16426,17662,10957
2020-09-23T15:47:25.685,23979,17074,17537,11366
2020-09-23T15:50:13.877,24203,15900,17866,10697
2020-09-23T15:53:03.248,23728,16617,17482,10937
2020-09-23T15:56:04.511,25096,18717,18316,12553
2020-09-23T15:58:57.590,26369,17713,19666,11630
2020-09-23T16:01:56.969,27779,17328,20530,11317
2020-09-23T16:04:50.013,24242,16768,17926,11163
2020-09-23T16:07:42.280,24550,16869,18087,11223
2020-09-23T16:10:35.976,25118,17092,18435,11322
2020-09-23T16:13:29.357,24260,16801,17985,11248
2020-09-23T16:16:22.024,24773,16887,18209,11330
2020-09-23T16:19:15.699,24881,17165,18180,11265
2020-09-23T16:22:11.108,25452,17139,18565,11395
2020-09-23T16:25:07.886,26715,17600,19626,11588
2020-09-23T16:27:54.408,23712,16618,17297,10764
2020-09-23T16:30:39.703,23179,16176,17127,10817
2020-09-23T16:33:26.428,23429,16104,17281,10790
2020-09-23T16:36:12.225,23570,16171,17404,10773
2020-09-23T16:38:58.631,23434,16250,17255,10840
2020-09-23T16:41:45.030,23866,16600,17150,10778
2020-09-23T16:44:31.729,23628,16222,17208,10860
2020-09-23T16:47:19.190,23495,16478,17202,10765
2020-09-23T16:50:05.080,23430,16368,17130,10697
2020-09-23T16:52:51.776,23540,16664,17254,10865
2020-09-23T16:55:37.946,23446,16522,17252,10816
2020-09-23T16:58:24.073,23516,16675,17265,10909
2020-09-23T17:01:11.089,24024,16426,17448,10850
2020-09-23T17:03:58.758,23982,16844,17332,10811
2020-09-23T17:06:45.824,23423,16284,17147,10792
2020-09-23T17:09:32.344,23828,16476,17225,10776
2020-09-23T17:12:19.137,23547,17257,17249,10768
2020-09-23T17:15:06.269,23243,16376,17145,10839
2020-09-23T17:17:53.223,24084,16464,17233,10734
2020-09-23T17:20:39.410,23254,16644,17168,10756
2020-09-23T17:23:26.172,23446,17722,17151,11314
2020-09-23T17:26:11.961,23239,16110,17296,10833
2020-09-23T17:28:56.739,23141,16023,17244,10756
2020-09-23T17:31:42.458,23340,16176,17287,10932
2020-09-23T17:34:31.996,25236,16680,18609,10862
2020-09-23T17:37:18.854,24792,15937,17708,10640
2020-09-23T17:40:04.858,23307,16279,17238,10793
2020-09-23T17:42:52.963,24192,17346,17828,11148
2020-09-23T17:45:40.736,23372,16860,17099,10931
2020-09-23T17:48:27.352,23430,16421,17198,10737
2020-09-23T17:51:14.669,23763,16471,17247,10786
2020-09-23T17:54:01.342,23690,16996,17305,10844
2020-09-23T17:56:53.149,23947,18236,17518,10807
2020-09-23T17:59:44.420,24258,18528,17400,10899
2020-09-24T10:49:20.400,25983,16414,17899,10847
2020-09-24T10:52:15.694,25130,17210,18459,11451
2020-09-24T11:53:48.482,24363,18549,17787,12130
2020-09-24T12:23:57.780,26900,18315,18562,11361
2020-09-24T12:26:48.126,23564,16303,17206,10810
2020-09-24T12:29:38.659,23930,16369,17292,10788
2020-09-24T12:32:29.399,23797,16562,17228,10931
2020-09-24T12:35:19.482,23696,16529,17285,10866
2020-09-24T12:38:09.759,23822,16632,17314,10929
2020-09-24T12:41:00.466,23975,17315,17310,10781
2020-09-24T12:43:50.132,23765,16450,17289,10861
2020-09-24T12:46:40.560,24595,16406,17218,10809
2020-09-24T12:49:29.605,23474,16458,17146,10771
2020-09-24T12:52:25.248,26473,17025,18673,11041
2020-09-24T13:29:31.700,6322,5508,18377,10722
2020-09-25T13:14:23.354,8532,6794,19424,11350
2020-09-25T13:19:00.030,6554,5754,21075,10945
2020-09-25T13:23:45.207,7016,6192,23245,12036
2020-09-25T13:28:17.382,6261,5289,20258,10953
