2020-09-21T14:22:29.330,7567,2654
2020-09-21T14:24:36.681,6719,2080
2020-09-21T14:26:44.247,6998,2144
2020-09-21T14:28:50.319,7091,2281
2020-09-21T14:43:42.770,8134,1684
2020-09-21T14:45:50.182,8301,2611
2020-09-21T15:14:21.611,7595,2377
2020-09-21T15:42:59.277,7588,3545
2020-09-21T15:45:15.510,8511,2936
2020-09-21T16:22:01.257,4992,1356
2020-09-21T16:24:01.389,5770,1456
2020-09-21T16:26:03.807,5393,1697
2020-09-21T16:29:32.140,3811,1240
2020-09-21T16:35:55.657,4971,1939
2020-09-21T19:59:38.328,3980,1267
2020-09-21T20:02:20.680,3724,1259
2020-09-21T20:04:15.095,3988,1472
2020-09-21T20:06:19.161,4724,1360
2020-09-23T10:59:00.435,4257,1561
2020-09-23T11:02:51.401,4990,1651
2020-09-23T11:38:37.983,4185,2166
2020-09-23T15:03:29.625,3973,1337
2020-09-23T15:06:12.181,4114,1384
2020-09-23T15:20:34.402,4395,1364
2020-09-23T15:40:20.620,5896,1683
2020-09-23T15:43:17.822,4613,1656
2020-09-23T15:46:31.708,3980,1473
2020-09-23T15:49:20.919,4584,1442
2020-09-23T15:52:09.850,3991,1347
2020-09-23T15:55:03.905,4743,2386
2020-09-23T15:58:00.726,4010,1288
2020-09-23T16:00:56.886,4245,2006
2020-09-23T16:03:55.293,4380,1346
2020-09-23T16:06:47.041,4368,1522
2020-09-23T16:09:39.952,4605,1692
2020-09-23T16:12:34.759,5777,1559
2020-09-23T16:15:26.724,4368,1563
2020-09-23T16:18:19.451,4329,1504
2020-09-23T16:21:15.674,6399,1373
2020-09-23T16:24:09.166,4603,1448
2020-09-23T16:27:01.472,4005,1424
2020-09-23T16:29:47.771,3961,1389
2020-09-23T16:32:34.356,4015,2368
2020-09-23T16:35:19.482,4057,1341
2020-09-23T16:38:06.250,4124,1411
2020-09-23T16:40:52.057,4118,1411
2020-09-23T16:43:39.217,4753,1342
2020-09-23T16:46:26.469,3977,1553
2020-09-23T16:49:13,3828,1675
2020-09-23T16:51:58.873,4032,1338
2020-09-23T16:54:45.486,3882,1501
2020-09-23T16:57:31.208,3838,1530
2020-09-23T17:00:17.797,3945,1513
2020-09-23T17:03:04.731,4059,1440
2020-09-23T17:05:52.831,3914,1622
2020-09-23T17:08:39.585,3818,1381
2020-09-23T17:11:26.027,3769,1493
2020-09-23T17:14:13.616,4665,1388
2020-09-23T17:17:00.151,3875,2232
2020-09-23T17:19:46.696,3817,1519
2020-09-23T17:22:32.674,3769,1502
2020-09-23T17:25:20.006,3972,1312
2020-09-23T17:28:05.033,3834,1383
2020-09-23T17:30:50.316,3909,1440
2020-09-23T17:33:36.783,4466,1501
2020-09-23T17:36:25.378,3892,1473
2020-09-23T17:39:12.430,3865,1478
2020-09-23T17:41:58.790,3922,1344
2020-09-23T17:44:47.856,3927,1680
2020-09-23T17:47:35.016,4827,1389
2020-09-23T17:50:21.456,3976,1483
2020-09-23T17:53:08.322,4066,1556
2020-09-23T17:55:58.207,4020,1532
2020-09-23T17:58:48.562,4337,1625
2020-09-24T10:48:23.501,7237,1931
2020-09-24T10:51:18.947,4920,1661
